STATE,NAME,YEAR,AGE,SEX,LaunchYear,Mean,Lower80,Upper80
72,Puerto Rico,2012,4,2,2015,130895,130895,130895
72,Puerto Rico,2012,5,2,2015,130792,130792,130792
72,Puerto Rico,2012,6,2,2015,116166,116166,116166
72,Puerto Rico,2012,7,2,2015,123796,123796,123796
72,Puerto Rico,2012,8,2,2015,120311,120311,120311
72,Puerto Rico,2012,9,2,2015,122137,122137,122137
72,Puerto Rico,2012,10,2,2015,128847,128847,128847
72,Puerto Rico,2012,11,2,2015,126822,126822,126822
72,Puerto Rico,2012,12,2,2015,122668,122668,122668
72,Puerto Rico,2012,13,2,2015,115460,115460,115460
72,Puerto Rico,2012,14,2,2015,104153,104153,104153
72,Puerto Rico,2012,15,2,2015,79336,79336,79336
72,Puerto Rico,2012,16,2,2015,60221,60221,60221
72,Puerto Rico,2012,17,2,2015,41769,41769,41769
72,Puerto Rico,2012,18,2,2015,42717,42717,42717
72,Puerto Rico,2013,1,1,2015,100224,100224,100224
72,Puerto Rico,2013,2,1,2015,110739,110739,110739
72,Puerto Rico,2013,3,1,2015,123213,123213,123213
72,Puerto Rico,2013,4,1,2015,133352,133352,133352
72,Puerto Rico,2013,5,1,2015,132712,132712,132712
72,Puerto Rico,2013,6,1,2015,110260,110260,110260
72,Puerto Rico,2013,7,1,2015,110260,110260,110260
72,Puerto Rico,2013,8,1,2015,109153,109153,109153
72,Puerto Rico,2013,9,1,2015,110515,110515,110515
72,Puerto Rico,2013,10,1,2015,111031,111031,111031
72,Puerto Rico,2013,11,1,2015,108981,108981,108981
72,Puerto Rico,2013,12,1,2015,103584,103584,103584
72,Puerto Rico,2013,13,1,2015,95392,95392,95392
72,Puerto Rico,2013,14,1,2015,89338,89338,89338
72,Puerto Rico,2013,15,1,2015,66940,66940,66940
72,Puerto Rico,2013,16,1,2015,48182,48182,48182
72,Puerto Rico,2013,17,1,2015,30073,30073,30073
72,Puerto Rico,2013,18,1,2015,26331,26331,26331
72,Puerto Rico,2013,1,2,2015,95374,95374,95374
72,Puerto Rico,2013,2,2,2015,104618,104618,104618
72,Puerto Rico,2013,3,2,2015,115764,115764,115764
72,Puerto Rico,2013,4,2,2015,127075,127075,127075
72,Puerto Rico,2013,5,2,2015,129937,129937,129937
72,Puerto Rico,2013,6,2,2015,114137,114137,114137
72,Puerto Rico,2013,7,2,2015,119756,119756,119756
72,Puerto Rico,2013,8,2,2015,119382,119382,119382
72,Puerto Rico,2013,9,2,2015,119871,119871,119871
72,Puerto Rico,2013,10,2,2015,125230,125230,125230
72,Puerto Rico,2013,11,2,2015,126616,126616,126616
72,Puerto Rico,2013,12,2,2015,122475,122475,122475
72,Puerto Rico,2013,13,2,2015,114316,114316,114316
72,Puerto Rico,2013,14,2,2015,106926,106926,106926
72,Puerto Rico,2013,15,2,2015,82119,82119,82119
72,Puerto Rico,2013,16,2,2015,61768,61768,61768
72,Puerto Rico,2013,17,2,2015,42877,42877,42877
72,Puerto Rico,2013,18,2,2015,44556,44556,44556
72,Puerto Rico,2014,1,1,2015,94603,94603,94603
72,Puerto Rico,2014,2,1,2015,106482,106482,106482
72,Puerto Rico,2014,3,1,2015,117799,117799,117799
72,Puerto Rico,2014,4,1,2015,128155,128155,128155
72,Puerto Rico,2014,5,1,2015,130029,130029,130029
72,Puerto Rico,2014,6,1,2015,109938,109938,109938
72,Puerto Rico,2014,7,1,2015,105318,105318,105318
